,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,0.9999375
2018-01-30,1.0017898271266168
2018-01-31,1.0029338991033283
2018-02-01,1.00171967626163
2018-02-02,1.0039237429764916
2018-02-05,1.0073080533639995
2018-02-06,1.0073080533639995
2018-02-07,1.0073080533639995
2018-02-08,1.0072450966106643
2018-02-09,1.0126171120925895
2018-02-12,1.0126171120925895
2018-02-13,1.0125538235230838
2018-02-14,1.0118631448570794
2018-02-15,1.0118881245797213
2018-02-16,1.0083721930778764
2018-02-19,1.0080558950730496
2018-02-20,1.0071171396993348
2018-02-21,1.0088017518496437
2018-02-22,1.0104121709937197
2018-02-23,1.008639147067725
2018-02-26,1.0062118857433549
2018-02-27,1.0076784514131367
2018-02-28,1.0096441091769994
2018-03-01,1.0040388260897954
2018-03-02,1.0033617805933963
2018-03-05,1.0022199950535016
2018-03-06,1.002322513563425
2018-03-07,1.003686816838141
2018-03-08,1.0110022660728566
2018-03-09,1.0098582139021213
2018-03-12,1.0110249581994177
2018-03-13,1.0114506779481185
2018-03-14,1.01095562953848
2018-03-15,1.0093892383079854
2018-03-16,1.010349226520626
2018-03-19,1.0074742140084318
2018-03-20,1.0061956929360067
2018-03-21,1.0044608571233107
2018-03-22,1.0027455558435512
2018-03-23,1.0020783704999083
2018-03-26,1.003950127214335
2018-03-27,1.0051148868840691
2018-03-28,1.005304474893827
2018-03-29,1.0017095566688308
2018-03-30,1.0014312422879545
2018-04-02,1.0009951326442916
2018-04-03,1.0045792579186985
2018-04-04,1.005556311994184
2018-04-05,1.008889587658326
2018-04-06,1.010849113822555
2018-04-09,1.023784763718143
2018-04-10,1.0192008239011963
2018-04-11,1.0157463372759346
2018-04-12,1.0182264191369856
2018-04-13,1.015712040944197
2018-04-16,1.0190982465183085
2018-04-17,1.0253727421095753
2018-04-18,1.0256964925346879
2018-04-19,1.0253053475855436
2018-04-20,1.030968473432542
2018-04-23,1.0324649091452724
2018-04-24,1.0346055272276309
2018-04-25,1.0357632283262004
2018-04-26,1.0328568576871249
2018-04-27,1.032784004558165
2018-04-30,1.0314412468173357
2018-05-01,1.0293812210231572
2018-05-02,1.0332923788505237
2018-05-03,1.0319136821481925
2018-05-04,1.04248107663493
2018-05-07,1.0394987788704928
2018-05-08,1.036367264030652
2018-05-09,1.0347748094213929
2018-05-10,1.0341618280891718
2018-05-11,1.0334836700186212
2018-05-14,1.0285244601713304
2018-05-15,1.0281365974545333
2018-05-16,1.0282665710866052
2018-05-17,1.029088310894261
2018-05-18,1.0313699883335248
2018-05-21,1.0290107866622302
2018-05-22,1.0196679491975627
2018-05-23,1.0117048346273627
2018-05-24,1.0084732629985607
2018-05-25,1.0069192441116337
2018-05-28,1.007501997795145
2018-05-29,1.0108411024013673
2018-05-30,1.008178317230799
2018-05-31,1.0131331040136153
2018-06-01,1.0122879721631732
2018-06-04,1.0194557827789745
2018-06-05,1.0205433096571572
2018-06-06,1.0205905901875412
2018-06-07,1.0174940911646548
2018-06-08,1.0205376520689324
2018-06-11,1.0257558726822984
2018-06-12,1.0261532564473184
2018-06-13,1.0279735544365984
2018-06-14,1.0256841916820076
2018-06-15,1.0222937989560885
2018-06-18,1.0220488433814867
2018-06-19,1.021456183520968
2018-06-20,1.0206497624735096
2018-06-21,1.0233980773669344
2018-06-22,1.021666552186026
2018-06-25,1.0210479195178612
2018-06-26,1.02130841806114
2018-06-27,1.0184945813043638
2018-06-28,1.0211176606015655
2018-06-29,1.0156858357949121
2018-07-02,1.0180441018404238
2018-07-03,1.0222124140154296
2018-07-04,1.025285093807475
2018-07-05,1.0266892719337093
2018-07-06,1.026794998427953
2018-07-09,1.0234365495414037
2018-07-10,1.0220782531567947
2018-07-11,1.0228778764559325
2018-07-12,1.0233486801125713
2018-07-13,1.0236794556426074
2018-07-16,1.0222698222756794
2018-07-17,1.029013755672058
2018-07-18,1.0252143450098303
2018-07-19,1.0199868785131498
2018-07-20,1.0204063918952795
2018-07-23,1.0224212755388122
2018-07-24,1.0351588168060155
2018-07-25,1.0362686519715696
2018-07-26,1.0341125462642573
2018-07-27,1.036656683640593
2018-07-30,1.0348355433185858
2018-07-31,1.0339740801766772
2018-08-01,1.0296259236823813
2018-08-02,1.0342035427022567
2018-08-03,1.0298076994071579
2018-08-06,1.0299942949922622
2018-08-07,1.0263316385622174
2018-08-08,1.027367178559265
2018-08-09,1.0251522251389742
2018-08-10,1.0227316957853143
2018-08-13,1.0281510879713696
2018-08-14,1.0345615348164947
2018-08-15,1.0341514701671368
2018-08-16,1.0359870942446447
2018-08-17,1.0360226931075796
2018-08-20,1.0365594487212577
2018-08-21,1.0381106737283021
2018-08-22,1.0374319465892958
2018-08-23,1.0381725582423387
2018-08-24,1.0458894312554832
2018-08-27,1.0536489970388356
2018-08-28,1.052493278293494
2018-08-29,1.050274364964406
2018-08-30,1.0479794580041117
2018-08-31,1.048207214259958
2018-09-03,1.049305068349308
2018-09-04,1.0528353551722802
2018-09-05,1.052001380939834
2018-09-06,1.0483865803257797
2018-09-07,1.0499540482923888
2018-09-10,1.0570371423605611
2018-09-11,1.051600814821953
2018-09-12,1.0498257417380248
2018-09-13,1.0446888263591563
2018-09-14,1.0441982511493977
2018-09-17,1.044878324536976
2018-09-18,1.0474238345288298
2018-09-19,1.0493593349004593
2018-09-20,1.0503621956870708
2018-09-21,1.0496740268775664
2018-09-24,1.0564104708620983
2018-09-25,1.061325118980387
2018-09-26,1.0556983144280814
2018-09-27,1.0600051672962105
2018-09-28,1.0614834659434003
2018-10-01,1.0611346861208997
2018-10-02,1.063003892992635
2018-10-03,1.0652485631693414
2018-10-04,1.067525463728265
2018-10-05,1.0713676212934473
2018-10-08,1.0731958698366146
2018-10-09,1.0733439429062077
2018-10-10,1.0753473466354486
2018-10-11,1.076713752843138
2018-10-12,1.075224546654734
