,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,0.9995
2018-02-28,1.001575414386452
2018-03-01,1.001575414386452
2018-03-02,1.0010746266792587
2018-03-05,1.0027971166398264
2018-03-06,1.0100390902002452
2018-03-07,1.0217436100213517
2018-03-08,1.0217436100213517
2018-03-09,1.021232738216341
2018-03-12,1.0380409593480455
2018-03-13,1.0419327795101407
2018-03-14,1.0461601062962982
2018-03-15,1.0461601062962982
2018-03-16,1.04563702624315
2018-03-19,1.0453380107432302
2018-03-20,1.0463301577581496
2018-03-21,1.045627700421817
2018-03-22,1.0451048865716062
2018-03-23,1.0475060812971708
2018-03-26,1.0430716225918388
2018-03-27,1.0425408850938727
2018-03-28,1.0334873562168991
2018-03-29,1.0329706125387907
2018-03-30,1.0284710702904123
2018-04-02,1.0245110120132934
2018-04-03,1.027732675182212
2018-04-04,1.028651458077048
2018-04-05,1.028651458077048
2018-04-06,1.0281371323480095
2018-04-09,1.0417421241264686
2018-04-10,1.035057299005605
2018-04-11,1.0263961538397446
2018-04-12,1.0258829557628248
2018-04-13,1.0222894093267627
2018-04-16,1.0250307237158616
2018-04-17,1.0347710682586686
2018-04-18,1.0313392039324911
2018-04-19,1.030823534330525
2018-04-20,1.0432443468359482
2018-04-23,1.0406217878842798
2018-04-24,1.0461805339226389
2018-04-25,1.039854879725896
2018-04-26,1.0393349522860331
2018-04-27,1.046212242818815
2018-04-30,1.0457666749276793
2018-05-01,1.0448652838889478
2018-05-02,1.0349918961752094
2018-05-03,1.0344744002271218
2018-05-04,1.0482477935194843
2018-05-07,1.0468605233241461
2018-05-08,1.0416335636203617
2018-05-09,1.0296863821684095
2018-05-10,1.0291715389773253
2018-05-11,1.0320073877079279
2018-05-14,1.0208319876100758
2018-05-15,1.0257376452180644
2018-05-16,1.0249518575106171
2018-05-17,1.0244393815818618
2018-05-18,1.0269557852262725
2018-05-21,1.023579293008568
2018-05-22,1.0173661255584858
2018-05-23,1.011023853856383
2018-05-24,1.0105183419294548
2018-05-25,1.0020770643632797
2018-05-28,1.0053131680615923
2018-05-29,1.0143021173372326
2018-05-30,1.0125001747698121
2018-05-31,1.0119939246824272
2018-06-01,1.009945439281072
2018-06-04,1.0175917436308197
2018-06-05,1.0219224439772288
2018-06-06,1.0197393539878041
2018-06-07,1.0192294843108103
2018-06-08,1.0327638460361594
2018-06-11,1.0349350665087174
2018-06-12,1.033672567514016
2018-06-13,1.0370912672757864
2018-06-14,1.0365727216421485
2018-06-15,1.0330346188781185
2018-06-18,1.0422289437157184
2018-06-19,1.0459770546553633
2018-06-20,1.0510270885414106
2018-06-21,1.05050157499714
2018-06-22,1.0511461823644896
2018-06-25,1.0591414937719674
2018-06-26,1.0604057607363864
2018-06-27,1.0620578341669158
2018-06-28,1.0615268052498323
2018-06-29,1.0540354797988174
2018-07-02,1.0652617268975935
2018-07-03,1.0718012439622724
2018-07-04,1.0637753228481568
2018-07-05,1.0632434351867328
2018-07-06,1.0627905813724392
2018-07-09,1.0506005559723743
2018-07-10,1.0573984603224074
2018-07-11,1.0597548685036835
2018-07-12,1.0592249910694318
2018-07-13,1.0530016800336774
2018-07-16,1.044925306343064
2018-07-17,1.0520947647800725
2018-07-18,1.0493625302420004
2018-07-19,1.0488378489768795
2018-07-20,1.048593834014693
2018-07-23,1.048275960493031
2018-07-24,1.0650248061948309
2018-07-25,1.063465795649519
2018-07-26,1.0629340627516943
2018-07-27,1.0568367401715748
2018-07-30,1.052968851451375
2018-07-31,1.0517262287973594
2018-08-01,1.0438548945365147
2018-08-02,1.0433329670892466
2018-08-03,1.0401821221419378
2018-08-06,1.044657873228509
2018-08-07,1.0346050871761165
2018-08-08,1.0400405834919888
2018-08-09,1.0395205632002429
2018-08-10,1.037617985479093
2018-08-13,1.045411930071907
2018-08-14,1.051604927568882
2018-08-15,1.0494703251478035
2018-08-16,1.0489455899852296
2018-08-17,1.0504093083677868
2018-08-20,1.057148111128516
2018-08-21,1.05688990119478
2018-08-22,1.0528443718579445
2018-08-23,1.0523179496720156
2018-08-24,1.0562292707058272
2018-08-27,1.0667519871000022
2018-08-28,1.0705962455030131
2018-08-29,1.0734027986041432
2018-08-30,1.0728660972048412
2018-08-31,1.0684868721619065
2018-09-03,1.0718456561511107
2018-09-04,1.0685444584215593
2018-09-05,1.0732577049326566
2018-09-06,1.0727210760801904
2018-09-07,1.0731478319912098
2018-09-10,1.081917183773745
2018-09-11,1.0814441635523975
2018-09-12,1.081231298732649
2018-09-13,1.081231298732649
2018-09-14,1.0806906830832825
2018-09-17,1.0794449627616935
2018-09-18,1.0875084917431879
2018-09-19,1.0904881563412105
2018-09-20,1.0904881563412105
2018-09-21,1.08994291226304
2018-09-24,1.0948355507398613
2018-09-25,1.0979958841232442
2018-09-26,1.092440092524936
2018-09-27,1.092440092524936
2018-09-28,1.0918938724786735
2018-10-01,1.104326494945861
2018-10-02,1.098585921492224
2018-10-03,1.1020301858972312
2018-10-04,1.1020301858972312
2018-10-05,1.1014791708042826
2018-10-08,1.0997610405175218
2018-10-09,1.1043026423927775
2018-10-10,1.0992748751812031
2018-10-11,1.0992748751812031
2018-10-12,1.0987252377436125
2018-10-15,1.0993402111582513
2018-10-16,1.0967649260747103
2018-10-17,1.1038513206826475
2018-10-18,1.1038513206826475
2018-10-19,1.1032993950223062
2018-10-22,1.1063148498875708
