,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,0.9999375
2018-01-30,0.9981583803244369
2018-01-31,1.0032594231479322
2018-02-01,1.005291168553869
2018-02-02,1.0077311405153548
2018-02-05,1.0032932776310701
2018-02-06,1.0010345015650668
2018-02-07,1.0040149651847001
2018-02-08,1.0046720301596834
2018-02-09,1.0068912168323287
2018-02-12,1.0107019678893672
2018-02-13,1.0105286971726692
2018-02-14,1.0140974411600152
2018-02-15,1.0153419712973808
2018-02-16,1.0055842179455146
2018-02-19,1.0038373810375276
2018-02-20,0.997545708943684
2018-02-21,0.9966490796924231
2018-02-22,0.9973155263350348
2018-02-23,0.9968241112687244
2018-02-26,0.9895107579508479
2018-02-27,0.983597527477937
2018-02-28,0.9886483034038026
2018-03-01,0.9888366080800399
2018-03-02,0.9827158893067067
2018-03-05,0.9811036577533732
2018-03-06,0.9765702496197829
2018-03-07,0.9654327415486702
2018-03-08,0.96759812055252
2018-03-09,0.9610524108760681
2018-03-12,0.9494619892680628
2018-03-13,0.9441411803098002
2018-03-14,0.9402038509910023
2018-03-15,0.9313430492875477
2018-03-16,0.9259434928198418
2018-03-19,0.9253883950520024
2018-03-20,0.920868169169738
2018-03-21,0.9175573292709929
2018-03-22,0.9134418294082329
2018-03-23,0.9136811660271534
2018-03-26,0.9184930297905562
2018-03-27,0.9236931017585307
2018-03-28,0.9301717101527275
2018-03-29,0.9354811971516573
2018-03-30,0.9338422868077263
2018-04-02,0.9330853012318728
2018-04-03,0.9333287334185527
2018-04-04,0.9342994101660782
2018-04-05,0.933661024377694
2018-04-06,0.9369695708266392
2018-04-09,0.9431899005185654
2018-04-10,0.9423945888651711
2018-04-11,0.9448590924065615
2018-04-12,0.9503324975303395
2018-04-13,0.9468403909686244
2018-04-16,0.9525967399492177
2018-04-17,0.9568356377465017
2018-04-18,0.9601116888286516
2018-04-19,0.9626093300910322
2018-04-20,0.9585726096405899
2018-04-23,0.9596320554047019
2018-04-24,0.9584771839707786
2018-04-25,0.9616908455630647
2018-04-26,0.9622664099508706
2018-04-27,0.9585710902685161
2018-04-30,0.9575465200889643
2018-05-01,0.957580437506169
2018-05-02,0.9670463207891775
2018-05-03,0.9666064493356787
2018-05-04,0.9692533581720951
2018-05-07,0.9636286739549903
2018-05-08,0.9631069726201986
2018-05-09,0.963688387976906
2018-05-10,0.9614891328658784
2018-05-11,0.9622536299461918
2018-05-14,0.9605558619816709
2018-05-15,0.9584546746817336
2018-05-16,0.9605948932340148
2018-05-17,0.9570674903404985
2018-05-18,0.9594273416283802
2018-05-21,0.9569370829148695
2018-05-22,0.946072169591999
2018-05-23,0.9395891371561295
2018-05-24,0.9353089097094152
2018-05-25,0.93915214615389
2018-05-28,0.9391565928084841
2018-05-29,0.9383802609351656
2018-05-30,0.9353401797286751
2018-05-31,0.9368104296388259
2018-06-01,0.936630888649875
2018-06-04,0.9423708546611221
2018-06-05,0.9427576714370561
2018-06-06,0.9481774810420713
2018-06-07,0.9451335332971404
2018-06-08,0.9423663323408373
2018-06-11,0.946456568760977
2018-06-12,0.946979490551544
2018-06-13,0.9444799238164929
2018-06-14,0.9490929432443714
2018-06-15,0.9469772636821225
2018-06-18,0.9412283798116814
2018-06-19,0.9367174241154553
2018-06-20,0.9327538469537708
2018-06-21,0.9321571226579549
2018-06-22,0.9309908019145334
2018-06-25,0.9222000167186298
2018-06-26,0.9210841356543275
2018-06-27,0.9156433790856765
2018-06-28,0.9153040457142728
2018-06-29,0.9097729856908213
2018-07-02,0.9063202769345219
2018-07-03,0.9085990619701235
2018-07-04,0.9173373527651019
2018-07-05,0.9151377453826393
2018-07-06,0.9156055482935486
2018-07-09,0.9194476102071757
2018-07-10,0.9142360847767765
2018-07-11,0.9142916942296428
2018-07-12,0.9085036485928975
2018-07-13,0.9121869710844451
2018-07-16,0.9121020358882481
2018-07-17,0.9185043393673563
2018-07-18,0.9127014728256586
2018-07-19,0.9110509766281527
2018-07-20,0.9110800101334009
2018-07-23,0.9141796170885371
2018-07-24,0.9238565593511705
2018-07-25,0.9249116425502029
2018-07-26,0.9251365597941005
2018-07-27,0.9310578914714884
2018-07-30,0.9301686281903984
2018-07-31,0.9353265443403885
2018-08-01,0.935862249006655
2018-08-02,0.9408318185801271
2018-08-03,0.9378947007632857
2018-08-06,0.9379474053725799
2018-08-07,0.9313818558914663
2018-08-08,0.9313850655525311
2018-08-09,0.9273737559233134
2018-08-10,0.9252912150081601
2018-08-13,0.9307434686798983
2018-08-14,0.938844276682784
2018-08-15,0.9409918778404779
2018-08-16,0.9465587392023677
2018-08-17,0.9443336093853203
2018-08-20,0.9432290974865467
2018-08-21,0.9464645813917696
2018-08-22,0.9459700455381801
2018-08-23,0.9485502859177026
2018-08-24,0.957429099910525
2018-08-27,0.9571764823828416
2018-08-28,0.9568731224707445
2018-08-29,0.954824243455728
2018-08-30,0.9555007924423515
2018-08-31,0.9585523547564397
2018-09-03,0.9605454295316473
2018-09-04,0.9634580864560659
2018-09-05,0.9592077339571686
2018-09-06,0.9601518899983829
2018-09-07,0.9603390928639951
2018-09-10,0.9622748702283276
2018-09-11,0.9559707071568099
2018-09-12,0.955123728588644
2018-09-13,0.9498204805862195
2018-09-14,0.9511251381380547
2018-09-17,0.9544689112321187
2018-09-18,0.9526293819486572
2018-09-19,0.9526934798967053
2018-09-20,0.954775690185749
2018-09-21,0.9578162886238717
2018-09-24,0.9621222204838262
2018-09-25,0.9675064016880323
2018-09-26,0.9624869628775488
2018-09-27,0.962834689866716
2018-09-28,0.9603490470077334
2018-10-01,0.9572457031861391
2018-10-02,0.9581547598708501
2018-10-03,0.9540485645278848
2018-10-04,0.9574419392238798
2018-10-05,0.960992956661102
2018-10-08,0.9650297384256482
2018-10-09,0.966517841969733
2018-10-10,0.9661560177936516
2018-10-11,0.9730070593166179
